City,LAT,LON,Area,Type,Name,Artists,Address,City2,State,Zip,Year,Participant,desc1,desc2,url,partner,funder,LAT,LON
Louisville,38.23930715,-85.78085298,Community Outreach,School's Out = Art's In,School's Out = Art's In @ California CC- Outdoor Beautification,,1600 W St Catherine St,Louisville,Kentucky,40210,2016,99,placeholder 129,placeholder 123,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.23930715,-85.78085298
Louisville,38.23667225,-85.71986514,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Bloom Elementary,,1627 Lucia Ave,Louisville,Kentucky,40204,2016,99,placeholder 130,placeholder 124,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Alltrade; Fund for the Arts,38.23667225,-85.71986514
Louisville,38.23667225,-85.71986514,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Bloom Elementary,,1627 Lucia Ave,Louisville,Kentucky,40204,2015,99,placeholder 131,placeholder 125,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.23667225,-85.71986514
Louisville,38.2246293,-85.77665428,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Parkhill CC- Community Banner,,1703 S 13th St,Louisville,Kentucky,40210,2015,99,placeholder 132,placeholder 126,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.2246293,-85.77665428
Louisville,38.2246293,-85.77665428,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Parkhill CC- Creature Feature,,1703 S 13th St,Louisville,Kentucky,40210,2017,99,placeholder 133,placeholder 127,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.2246293,-85.77665428
Louisville,38.19807425,-85.69581015,Community Outreach,Art Buffet,Yum! FFTA Mural,Clare Gandenberger,1900 Colonel Sanders Lane,Louisville,Kentucky,40213,2016,99,placeholder 134,placeholder 128,http://www.louisvillevisualart.org/art-buffet-1,Yum!; Fund for the Arts,Fund for the Arts,38.19807425,-85.69581015
Louisville,38.19807425,-85.69581015,Community Outreach,Art Buffet,Yum! FFTA - Summer Camp Workshop Showcase,Sarah Davis & Ehren Reed,1900 Colonel Sanders Lane,Louisville,Kentucky,40213,2016,99,placeholder 135,placeholder 129,http://www.louisvillevisualart.org/art-buffet-1,Yum!; Fund for the Arts,Fund for the Arts,38.19807425,-85.69581015
Louisville,38.19807425,-85.69581015,Community Outreach,Art Buffet,FFTA - Painting,Meredith Cunningham,1900 Colonel Sanders Lane,Louisville,Kentucky,40213,2017,99,placeholder 136,placeholder 130,http://www.louisvillevisualart.org/art-buffet-1,Community Partners,Fund for the Arts,38.19807425,-85.69581015
Louisville,38.20018855,-85.68375006,Community Outreach,Art for Kosair Kids,Exploring the Senses through Art w/ Visually Impaired Preschool Services (VIPS),,1906 Goldsmith Ln,Louisville,Kentucky,40218,2016,99,placeholder 137,placeholder 131,http://www.louisvillevisualart.org/visually-impaired-preschool,Home of the Innocents; Art for Kosair Kids,Home of the Innocents; Art for Kosair Kids,38.20018855,-85.68375006
Louisville,38.22414845,-85.69448255,Community Outreach,Community Support,LIBA West/Mentor Program,Jackie Pallesen & Ehren Reed,1974 Douglass Blvd,Louisville,Kentucky,40205,2016,99,placeholder 138,placeholder 132,http://www.louisvillevisualart.org/community-outreach,LIBA,LIBA,38.22414845,-85.69448255
Louisville,38.232144,-85.7087182,Community Outreach,Art Buffet,Studio Works Cyanotype Workshop,Sarah Davis,2008 Eastern Pkwy,Louisville,Kentucky,40205,2015,99,placeholder 139,placeholder 133,http://www.louisvillevisualart.org/art-buffet-1,Community Partners,Metro EAF,38.232144,-85.7087182
Louisville,38.25095755,-85.64586085,Community Outreach,Open Doors Residencies,Cornerstone Child Care Center - Summer Camp,Ehren Reed,211 Browns Ln,Louisville,Kentucky,40207,2017,99,placeholder 140,placeholder 134,http://www.louisvillevisualart.org/open-doors-history/,Community Partners,Community Parnters,38.25095755,-85.64586085
Louisville,38.20637595,-85.67331744,Community Outreach,Open Doors Residencies,Uspirtus - Tech and Art Summer Camp,Lori Kelly,2127 Goldsmith Lane,Louisville,Kentucky,40218,2017,99,placeholder 147,placeholder 141,http://www.louisvillevisualart.org/open-doors-history/,Community Partners,Uspirtus,38.20637595,-85.67331744
Louisville,38.260626,-85.7866299,Community Outreach,LVA 5x5/ TTeacher Art Grant,Teacher Art Grant @Western MIddle School for the Arts,,2201 W Main St,Louisville,Kentucky,40212,2015,99,placeholder 141,placeholder 135,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.260626,-85.7866299
Louisville,38.2563514,-85.68996223,Community Outreach,Art Therapy,New Beginnings through Art @ St Joseph Children's Home,Janet Britt and Lori Kelly,2823 Frankfort Ave,Louisville,Kentucky,40206,2017,99,placeholder 142,placeholder 136,http://www.louisvillevisualart.org/art-therapy/,Community Partners,Metro EAF; Cralle; Fund for the Arts,38.2563514,-85.68996223
Louisville,38.2563514,-85.68996223,Community Outreach,Art Therapy,New Beginnings through Art @ St Joseph Children's Home,Janet Britt and Lori Kelly,2823 Frankfort Ave,Louisville,Kentucky,40206,2016,99,placeholder 143,placeholder 137,http://www.louisvillevisualart.org/art-therapy/,Community Partners,Metro EAF; Cralle; Fund for the Arts,38.2563514,-85.68996223
Louisville,38.2563514,-85.68996223,Community Outreach,Art Therapy,New Beginnings through Art @ St Joseph Children's Home,Janet Britt and Lori Kelly,2823 Frankfort Ave,Louisville,Kentucky,40206,2015,99,placeholder 144,placeholder 138,http://www.louisvillevisualart.org/art-therapy/,Community Partners,Metro EAF; Cralle; Fund for the Arts,38.2563514,-85.68996223
Louisville,38.2803709,-85.7020608,Community Outreach,Art Buffet,Buy Local -Summer Camp Showcase,Annette Cable; Jackie Pallesen; Sarah Davis,3005 River Rd,Louisville,Kentucky,40207,2016,99,placeholder 145,placeholder 139,http://www.louisvillevisualart.org/art-buffet-1,Community Partners,LVA,38.2803709,-85.7020608
Louisville,38.1722153,-85.76978107,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Rutherford Elementary,,301 W Southland Blvd,Louisville,Kentucky,40214,2016,99,placeholder 146,placeholder 140,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1722153,-85.76978107
Louisville,38.24645285,-85.75747009,Community Outreach,Art Buffet,Next! FFTA Art Workshop,Jackie Pallesen; Ehren Reed; Sarah Davis,315 W Broadway,Louisville,Kentucky,40202,2016,99,placeholder 148,placeholder 142,http://www.louisvillevisualart.org/art-buffet-1,Fund for the Arts,Fund for the Arts,38.24645285,-85.75747009
Louisville,38.1711835,-85.7002701,Community Outreach,LVA 5x5/ Teacher Art Grant,Teacher Art Grant @ Mary Ryan Academy,,3307 E Indian Trail,Louisville,Kentucky,40213,2016,99,placeholder 149,placeholder 143,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1711835,-85.7002701
Louisville,38.2744439,-85.8032618,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Portland Elementary,,3410 Northwestern Parkway,Louisville,Kentucky,40212,2015,99,placeholder 107,placeholder 101,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.2744439,-85.8032618
Louisville,38.2744439,-85.8032618,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Portland Elementary,,3410 Northwestern Parkway,Louisville,Kentucky,40212,2016,99,placeholder 150,placeholder 144,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.2744439,-85.8032618
Louisville,38.23306315,-85.81594936,Community Outreach,Picture Love,Picture Love @ Southwick CC,,3621 Southern Ave,Louisville,Kentucky,40211,2014,99,placeholder 153,placeholder 147,http://www.louisvillevisualart.org/picture-love/,Community Partners,Metro Parks,38.23306315,-85.81594936
Louisville,38.23306315,-85.81594936,Community Outreach,Picture Love,Picture Love @ Southwick CC,,3621 Southern Ave,Louisville,Kentucky,40211,2015,99,placeholder 154,placeholder 148,http://www.louisvillevisualart.org/picture-love/,Community Partners,Metro Parks,38.23306315,-85.81594936
Louisville,38.23306315,-85.81594936,Community Outreach,Picture Love,Picture Love @ Southwick CC,,3621 Southern Ave,Louisville,Kentucky,40211,2016,99,placeholder 155,placeholder 149,http://www.louisvillevisualart.org/picture-love/,Community Partners,Metro Parks,38.23306315,-85.81594936
Louisville,38.23306315,-85.81594936,Community Outreach,Picture Love,Picture Love @ Southwick CC,,3621 Southern Ave,Louisville,Kentucky,40211,2017,99,placeholder 156,placeholder 150,http://www.louisvillevisualart.org/picture-love/,Community Partners,Backside Learning Center; UPS,38.23306315,-85.81594936
Louisville,38.23306315,-85.81594936,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Southwick CC- Community Banner,,3621 Southern Ave,Louisville,Kentucky,40211,2015,99,placeholder 151,placeholder 145,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.23306315,-85.81594936
Louisville,38.23306315,-85.81594936,Community Outreach,School's Out = Art's In,School's Out = Art's In @ Southwick CC - Mr. Moore Mural,,3621 Southern Ave,Louisville,Kentucky,40211,2016,99,placeholder 152,placeholder 146,http://fundforthearts.org/schoolsoutartsin/,Community Partners,Fund for the Arts,38.23306315,-85.81594936
Louisville,38.1909425,-85.51473183,Community Outreach,LVA 5x5/ Teacher Art Grant,Teacher Art Grant @ St Michaels,,3703 Stone Lakes Dr,Louisville,Kentucky,40299,2016,99,placeholder 157,placeholder 151,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1909425,-85.51473183
Louisville,38.12334355,-85.69392453,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Blake Elementary,,3801 Bonaventure Blvd,Louisville,Kentucky,40219,2016,99,placeholder 158,placeholder 152,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.12334355,-85.69392453
Louisville,38.19966365,-85.7654595,Community Outreach,Picture Love,Picture Love @ Backside Learning Center & Lousiville Story Program,,3805 Southern Pkwy,Louisville,Kentucky,40214,2017,99,placeholder 159,placeholder 153,http://www.louisvillevisualart.org/picture-love/,Community Partners,Backside Learning Center; UPS,38.19966365,-85.7654595
Louisville,38.1914337,-85.62714428,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Watterson Elementary,,3900 Breckenridge Ln,Louisville,Kentucky,40218,2016,99,placeholder 160,placeholder 154,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.1914337,-85.62714428
Louisville,38.1914337,-85.62714428,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Watterson Elementary,,3900 Breckenridge Ln,Louisville,Kentucky,40218,2015,99,placeholder 161,placeholder 155,https://flic.kr/p/BQUbit,Community Partners,Fund for the Arts,38.1914337,-85.62714428
Louisville,38.19689095,-85.76745431,Community Outreach,Open Doors Residencies,Mixdowns Monday - Printmaking Workshop,Ehren Reed,3938 Southern Pkwy,Louisville,Kentucky,40214,2016,99,placeholder 162,placeholder 156,http://www.louisvillevisualart.org/open-doors-history/,Community Partners,Metro EAF,38.19689095,-85.76745431
Louisville,38.2610195,-85.81525595,Community Outreach,LVA 5x5/ Teacher Art Grant,Teacher Art Grant @ Shawnee High School,,4001 Herman St,Louisville,Kentucky,40212,2016,99,placeholder 163,placeholder 157,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.2610195,-85.81525595
Louisville,38.2357043,-85.7481816,Community Outreach,Open Doors Residencies,St Vincent de Paul - Urban Summer Art Camp - Community Banner,Beth Holiday,421 E St Catherine St,Louisville,Kentucky,40203,2017,99,placeholder 164,placeholder 158,http://www.louisvillevisualart.org/open-doors-history/,Community Partners,St Vincent de Paul,38.2357043,-85.7481816
